Timestamp,SensorData,AvgValue,PotholeDetected
2023-03-17-19-22-40,314,314,0
2023-03-17-19-22-40,315,314.5,0
2023-03-17-19-22-40,315,314.667,0
2023-03-17-19-22-40,316,315,0
2023-03-17-19-22-40,316,315.2,0
2023-03-17-19-22-40,315,315.167,0
2023-03-17-19-22-40,315,315.143,0
2023-03-17-19-22-40,314,315,0
2023-03-17-19-22-40,315,315,0
2023-03-17-19-22-40,314,314.9,0
2023-03-17-19-22-41,313,314.8,0
2023-03-17-19-22-41,311,314.4,0
2023-03-17-19-22-41,310,313.9,0
2023-03-17-19-22-41,311,313.4,0
2023-03-17-19-22-41,311,312.9,0
2023-03-17-19-22-41,312,312.6,0
2023-03-17-19-22-41,312,312.3,0
2023-03-17-19-22-41,312,312.1,0
2023-03-17-19-22-41,313,311.9,0
2023-03-17-19-22-41,315,312,0
2023-03-17-19-22-41,316,312.3,0
2023-03-17-19-22-41,315,312.7,0
2023-03-17-19-22-41,314,313.1,0
2023-03-17-19-22-41,313,313.3,0
2023-03-17-19-22-41,312,313.4,0
2023-03-17-19-22-41,313,313.5,0
2023-03-17-19-22-41,313,313.6,0
2023-03-17-19-22-41,313,313.7,0
2023-03-17-19-22-41,314,313.8,0
2023-03-17-19-22-41,316,313.9,0
2023-03-17-19-22-41,317,314,0
2023-03-17-19-22-41,317,314.2,0
2023-03-17-19-22-41,316,314.4,0
2023-03-17-19-22-41,315,314.6,0
2023-03-17-19-22-41,314,314.8,0
2023-03-17-19-22-41,313,314.8,0
2023-03-17-19-22-41,313,314.8,0
2023-03-17-19-22-42,313,314.8,0
2023-03-17-19-22-42,314,314.8,0
2023-03-17-19-22-42,315,314.7,0
2023-03-17-19-22-42,316,314.6,0
2023-03-17-19-22-42,316,314.5,0
2023-03-17-19-22-42,316,314.5,0
2023-03-17-19-22-42,313,314.3,0
2023-03-17-19-22-42,311,314,0
2023-03-17-19-22-42,309,313.6,0
2023-03-17-19-22-42,307,313,0
2023-03-17-19-22-42,304,312.1,0
2023-03-17-19-22-42,302,310.9,0
2023-03-17-19-22-42,299,309.3,0
2023-03-17-19-22-42,296,307.3,0
2023-03-17-19-22-42,295,305.2,0
2023-03-17-19-22-42,295,303.1,0
2023-03-17-19-22-42,294,301.2,0
2023-03-17-19-22-42,294,299.5,0
2023-03-17-19-22-42,296,298.2,0
2023-03-17-19-22-42,302,297.7,0
2023-03-17-19-22-42,308,298.1,0
2023-03-17-19-22-42,315,299.4,0
2023-03-17-19-22-42,318,301.3,0
2023-03-17-19-22-42,312,302.9,0
2023-03-17-19-22-42,304,303.8,0
2023-03-17-19-22-42,294,303.7,0
2023-03-17-19-22-42,287,303,0
2023-03-17-19-22-42,274,301,0
2023-03-17-19-22-43,261,297.5,0
2023-03-17-19-22-43,252,292.5,0
2023-03-17-19-22-43,251,286.8,0
2023-03-17-19-22-43,255,280.8,0
2023-03-17-19-22-43,260,275,0
2023-03-17-19-22-43,264,270.2,0
2023-03-17-19-22-43,263,266.1,0
2023-03-17-19-22-43,263,263,0
2023-03-17-19-22-43,265,260.8,0
2023-03-17-19-22-43,269,260.3,0
2023-03-17-19-22-43,269,261.1,0
2023-03-17-19-22-43,274,263.3,0
2023-03-17-19-22-43,283,266.5,0
2023-03-17-19-22-43,287,269.7,0
2023-03-17-19-22-43,279,271.6,0
2023-03-17-19-22-43,264,271.6,0
2023-03-17-19-22-43,217,267,0
2023-03-17-19-22-43,175,258.2,0
2023-03-17-19-22-43,149,246.6,0
2023-03-17-19-22-43,147,234.4,0
2023-03-17-19-22-43,157,223.2,0
2023-03-17-19-22-43,167,212.5,0
2023-03-17-19-22-43,179,202.1,0
2023-03-17-19-22-43,187,192.1,0
2023-03-17-19-22-43,222,186.4,0
2023-03-17-19-22-43,268,186.8,0
2023-03-17-19-22-43,290,194.1,0
2023-03-17-19-22-44,278,204.4,0
2023-03-17-19-22-44,230,212.5,0
2023-03-17-19-22-44,161,213.9,0
2023-03-17-19-22-44,106,208.8,0
2023-03-17-19-22-44,76,208.8,0
2023-03-17-19-22-44,95,208.8,0
2023-03-17-19-22-44,99,208.8,0
2023-03-17-19-22-44,117,208.8,0
2023-03-17-19-22-44,121,208.8,0
2023-03-17-19-22-44,137,208.8,0
2023-03-17-19-22-44,173,208.8,0
2023-03-17-19-22-44,204,208.8,1
2023-03-17-19-22-44,235,208.8,0
2023-03-17-19-22-44,214,208.8,0
2023-03-17-19-22-44,188,208.8,0
2023-03-17-19-22-44,144,208.8,0
2023-03-17-19-22-44,126,208.8,0
2023-03-17-19-22-44,105,208.8,0
2023-03-17-19-22-44,94,208.8,0
2023-03-17-19-22-44,98,208.8,0
2023-03-17-19-22-44,84,208.8,0
2023-03-17-19-22-44,84,208.8,0
2023-03-17-19-22-44,88,208.8,0
2023-03-17-19-22-44,114,208.8,0
2023-03-17-19-22-44,129,208.8,0
2023-03-17-19-22-44,143,208.8,0
2023-03-17-19-22-45,150,208.8,0
2023-03-17-19-22-45,153,207.4,0
2023-03-17-19-22-45,163,205.8,0
2023-03-17-19-22-45,158,202.9,0
2023-03-17-19-22-45,145,195.2,0
2023-03-17-19-22-45,132,181.6,0
2023-03-17-19-22-45,129,165.5,0
2023-03-17-19-22-45,127,150.4,0
2023-03-17-19-22-45,130,140.4,0
2023-03-17-19-22-45,122,136.5,0
2023-03-17-19-22-45,113,137.2,0
2023-03-17-19-22-45,119,133.8,0
2023-03-17-19-22-45,135,131,0
2023-03-17-19-22-45,132,128.4,0
2023-03-17-19-22-45,120,125.9,0
2023-03-17-19-22-45,125,125.2,0
2023-03-17-19-22-45,135,125.8,0
2023-03-17-19-22-46,147,127.8,0
2023-03-17-19-22-46,152,130,0
2023-03-17-19-22-46,155,133.3,0
2023-03-17-19-22-46,152,137.2,0
2023-03-17-19-22-46,157,141,0
2023-03-17-19-22-46,163,143.8,0
2023-03-17-19-22-46,171,147.7,0
2023-03-17-19-22-46,170,152.7,0
2023-03-17-19-22-46,158,156,0
2023-03-17-19-22-46,166,159.1,0
2023-03-17-19-22-46,190,163.4,0
2023-03-17-19-22-46,206,168.8,0
2023-03-17-19-22-46,200,173.3,0
2023-03-17-19-22-46,203,178.4,0
2023-03-17-19-22-46,194,182.1,0
2023-03-17-19-22-46,182,184,0
2023-03-17-19-22-46,186,185.5,0
2023-03-17-19-22-47,178,186.3,0
2023-03-17-19-22-47,133,183.8,0
2023-03-17-19-22-47,101,177.3,0
2023-03-17-19-22-47,102,168.5,0
2023-03-17-19-22-47,118,159.7,0
2023-03-17-19-22-47,127,152.4,0
2023-03-17-19-22-47,138,145.9,0
2023-03-17-19-22-47,157,142.2,0
2023-03-17-19-22-47,159,139.9,0
2023-03-17-19-22-47,162,137.5,0
2023-03-17-19-22-47,174,137.1,0
2023-03-17-19-22-47,196,143.4,0
2023-03-17-19-22-47,198,153.1,0
2023-03-17-19-22-47,164,159.3,0
2023-03-17-19-22-47,149,162.4,0
2023-03-17-19-22-47,139,163.6,0
2023-03-17-19-22-47,159,165.7,0
2023-03-17-19-22-48,186,168.6,0
2023-03-17-19-22-48,196,172.3,0
2023-03-17-19-22-48,190,175.1,0
2023-03-17-19-22-48,176,175.3,0
2023-03-17-19-22-48,204,176.1,0
2023-03-17-19-22-48,223,178.6,0
2023-03-17-19-22-48,237,185.9,0
2023-03-17-19-22-48,222,193.2,0
2023-03-17-19-22-48,214,200.7,0
2023-03-17-19-22-48,198,204.6,0
2023-03-17-19-22-48,184,204.4,0
2023-03-17-19-22-48,197,204.5,0
2023-03-17-19-22-48,224,207.9,0
2023-03-17-19-22-48,225,212.8,0
2023-03-17-19-22-48,212,213.6,0
2023-03-17-19-22-48,200,211.3,0
2023-03-17-19-22-48,206,208.2,0
2023-03-17-19-22-49,232,209.2,0
2023-03-17-19-22-49,236,211.4,0
2023-03-17-19-22-49,214,213,0
2023-03-17-19-22-49,161,210.7,0
2023-03-17-19-22-49,163,207.3,0
2023-03-17-19-22-49,163,201.2,0
2023-03-17-19-22-49,158,194.5,0
2023-03-17-19-22-49,220,195.3,0
2023-03-17-19-22-49,252,200.5,0
2023-03-17-19-22-49,250,204.9,0
2023-03-17-19-22-49,249,206.6,0
2023-03-17-19-22-49,247,207.7,0
2023-03-17-19-22-49,199,206.2,0
2023-03-17-19-22-49,153,205.4,0
2023-03-17-19-22-49,174,206.5,0
2023-03-17-19-22-49,133,203.5,0
2023-03-17-19-22-49,114,199.1,0
2023-03-17-19-22-50,152,192.3,0
2023-03-17-19-22-50,179,185,0
2023-03-17-19-22-50,174,177.4,0
2023-03-17-19-22-50,177,170.2,0
2023-03-17-19-22-50,239,169.4,0
2023-03-17-19-22-50,262,175.7,0
2023-03-17-19-22-50,241,184.5,0
2023-03-17-19-22-50,209,188,0
2023-03-17-19-22-50,189,193.6,0
2023-03-17-19-22-50,197,201.9,0
2023-03-17-19-22-50,232,209.9,0
2023-03-17-19-22-50,253,217.3,0
2023-03-17-19-22-50,228,222.7,0
2023-03-17-19-22-50,211,226.1,0
2023-03-17-19-22-50,214,223.6,0
2023-03-17-19-22-50,233,220.7,0
2023-03-17-19-22-50,233,219.9,0
2023-03-17-19-22-51,227,221.7,0
2023-03-17-19-22-51,257,228.5,0
2023-03-17-19-22-51,298,238.6,0
2023-03-17-19-22-51,305,245.9,0
