Timestamp,SensorData,AvgValue,PotholeDetected
2023-03-17-18-36-15,337,337,0
2023-03-17-18-36-15,337,337,0
2023-03-17-18-36-15,336,336.667,0
2023-03-17-18-36-15,336,336.5,0
2023-03-17-18-36-15,335,336.2,0
2023-03-17-18-36-15,334,335.833,0
2023-03-17-18-36-16,332,335.286,0
2023-03-17-18-36-16,330,334.625,0
2023-03-17-18-36-16,331,334.222,0
2023-03-17-18-36-16,333,334.1,0
2023-03-17-18-36-16,336,334,0
2023-03-17-18-36-16,336,333.9,0
2023-03-17-18-36-16,335,333.8,0
2023-03-17-18-36-16,335,333.7,0
2023-03-17-18-36-16,335,333.7,0
2023-03-17-18-36-16,333,333.6,0
2023-03-17-18-36-16,327,333.1,0
2023-03-17-18-36-16,324,332.5,0
2023-03-17-18-36-16,318,331.2,0
2023-03-17-18-36-16,310,328.9,0
2023-03-17-18-36-16,306,325.9,0
2023-03-17-18-36-16,299,322.2,0
2023-03-17-18-36-16,300,318.7,0
2023-03-17-18-36-17,309,316.1,0
2023-03-17-18-36-17,311,313.7,0
2023-03-17-18-36-17,299,310.3,0
2023-03-17-18-36-17,294,307,0
2023-03-17-18-36-17,302,304.8,0
2023-03-17-18-36-17,311,304.1,0
2023-03-17-18-36-17,318,304.9,0
2023-03-17-18-36-17,309,305.2,0
2023-03-17-18-36-17,294,304.7,0
2023-03-17-18-36-17,318,306.5,0
2023-03-17-18-36-17,325,308.1,0
2023-03-17-18-36-17,327,309.7,0
2023-03-17-18-36-17,319,311.7,0
2023-03-17-18-36-17,315,313.8,0
2023-03-17-18-36-17,314,315,0
2023-03-17-18-36-17,316,315.5,0
2023-03-17-18-36-17,318,315.5,0
2023-03-17-18-36-18,290,313.6,0
2023-03-17-18-36-18,293,313.5,0
2023-03-17-18-36-18,291,310.8,0
2023-03-17-18-36-18,288,307.1,0
2023-03-17-18-36-18,286,303,0
2023-03-17-18-36-18,282,299.3,0
2023-03-17-18-36-18,284,296.2,0
2023-03-17-18-36-18,288,293.6,0
2023-03-17-18-36-18,291,291.1,0
2023-03-17-18-36-18,289,288.2,0
2023-03-17-18-36-18,290,288.2,0
2023-03-17-18-36-18,295,288.4,0
2023-03-17-18-36-18,300,289.3,0
2023-03-17-18-36-18,302,290.7,0
2023-03-17-18-36-18,296,291.7,0
2023-03-17-18-36-18,295,293,0
2023-03-17-18-36-18,300,294.6,0
2023-03-17-18-36-19,297,295.5,0
2023-03-17-18-36-19,289,295.3,0
2023-03-17-18-36-19,285,294.9,0
2023-03-17-18-36-19,291,295,0
2023-03-17-18-36-19,302,295.7,0
2023-03-17-18-36-19,320,297.7,0
2023-03-17-18-36-19,333,300.8,0
2023-03-17-18-36-19,331,304.3,0
2023-03-17-18-36-19,329,307.7,0
2023-03-17-18-36-19,338,311.5,0
2023-03-17-18-36-19,349,316.7,0
2023-03-17-18-36-19,343,322.1,0
2023-03-17-18-36-19,330,326.6,0
2023-03-17-18-36-19,330,330.5,0
2023-03-17-18-36-19,338,334.1,0
2023-03-17-18-36-19,329,335,0
2023-03-17-18-36-19,334,335.1,0
2023-03-17-18-36-20,337,335.7,0
2023-03-17-18-36-20,324,335.2,0
2023-03-17-18-36-20,317,333.1,0
2023-03-17-18-36-20,332,331.4,0
2023-03-17-18-36-20,332,330.3,0
2023-03-17-18-36-20,306,327.9,0
2023-03-17-18-36-20,309,325.8,0
2023-03-17-18-36-20,302,322.2,0
2023-03-17-18-36-20,302,319.5,0
2023-03-17-18-36-20,318,317.9,0
2023-03-17-18-36-20,322,316.4,0
2023-03-17-18-36-20,306,314.6,0
2023-03-17-18-36-20,292,312.1,0
2023-03-17-18-36-20,296,308.5,0
2023-03-17-18-36-20,299,305.2,0
2023-03-17-18-36-20,294,304,0
2023-03-17-18-36-20,278,300.9,0
2023-03-17-18-36-21,260,296.7,0
2023-03-17-18-36-21,263,292.8,0
2023-03-17-18-36-21,281,289.1,0
2023-03-17-18-36-21,307,287.6,0
2023-03-17-18-36-21,318,288.8,0
2023-03-17-18-36-21,318,291.4,0
2023-03-17-18-36-21,325,294.3,0
2023-03-17-18-36-21,344,298.8,0
2023-03-17-18-36-21,363,305.7,0
2023-03-17-18-36-21,370,314.9,0
2023-03-17-18-36-21,359,324.8,0
2023-03-17-18-36-21,344,332.9,0
2023-03-17-18-36-21,349,339.7,0
2023-03-17-18-36-21,350,344,0
2023-03-17-18-36-21,357,347.9,0
2023-03-17-18-36-21,360,352.1,0
2023-03-17-18-36-21,354,355,0
2023-03-17-18-36-22,346,355.2,0
2023-03-17-18-36-22,332,352.1,0
2023-03-17-18-36-22,347,349.8,0
2023-03-17-18-36-22,337,347.6,0
2023-03-17-18-36-22,346,347.8,0
2023-03-17-18-36-22,358,348.7,0
2023-03-17-18-36-22,361,349.8,0
2023-03-17-18-36-22,340,348.1,0
2023-03-17-18-36-22,322,344.3,0
2023-03-17-18-36-22,330,341.9,0
2023-03-17-18-36-22,315,338.8,0
2023-03-17-18-36-22,334,339,0
2023-03-17-18-36-22,324,336.7,0
2023-03-17-18-36-22,306,333.6,0
2023-03-17-18-36-22,297,328.7,0
2023-03-17-18-36-22,311,324,0
2023-03-17-18-36-22,325,320.4,0
2023-03-17-18-36-23,342,320.6,0
2023-03-17-18-36-23,352,323.6,0
2023-03-17-18-36-23,335,324.1,0
2023-03-17-18-36-23,325,325.1,0
2023-03-17-18-36-23,338,325.5,0
2023-03-17-18-36-23,348,327.9,0
2023-03-17-18-36-23,377,335,0
2023-03-17-18-36-23,390,344.3,0
2023-03-17-18-36-23,368,350,0
2023-03-17-18-36-23,335,351,0
2023-03-17-18-36-23,341,350.9,0
2023-03-17-18-36-23,378,353.5,0
2023-03-17-18-36-23,393,359.3,0
2023-03-17-18-36-23,390,365.8,0
2023-03-17-18-36-23,367,368.7,0
2023-03-17-18-36-23,370,370.9,0
2023-03-17-18-36-23,377,370.9,0
2023-03-17-18-36-23,376,369.5,0
2023-03-17-18-36-24,369,369.6,0
2023-03-17-18-36-24,357,371.8,0
2023-03-17-18-36-24,348,372.5,0
2023-03-17-18-36-24,336,368.3,0
2023-03-17-18-36-24,319,360.9,0
2023-03-17-18-36-24,315,353.4,0
2023-03-17-18-36-24,338,350.5,0
2023-03-17-18-36-24,360,349.5,0
2023-03-17-18-36-24,355,347.3,0
2023-03-17-18-36-24,341,343.8,0
2023-03-17-18-36-24,336,340.5,0
2023-03-17-18-36-24,363,341.1,0
2023-03-17-18-36-24,379,344.2,0
2023-03-17-18-36-24,368,347.4,0
2023-03-17-18-36-24,350,350.5,0
2023-03-17-18-36-24,362,355.2,0
2023-03-17-18-36-24,372,358.6,0
2023-03-17-18-36-25,376,360.2,0
2023-03-17-18-36-25,370,361.7,0
2023-03-17-18-36-25,356,363.2,0
2023-03-17-18-36-25,361,365.7,0
2023-03-17-18-36-25,363,365.7,0
2023-03-17-18-36-25,358,363.6,0
2023-03-17-18-36-25,348,361.6,0
2023-03-17-18-36-25,343,360.9,0
2023-03-17-18-36-25,348,359.5,0
2023-03-17-18-36-25,348,357.1,0
2023-03-17-18-36-25,334,352.9,0
2023-03-17-18-36-25,319,347.8,0
2023-03-17-18-36-25,324,344.6,0
