Timestamp,SensorData,AvgValue,PotholeDetected
2023-03-17-18-46-15,186,186,0
2023-03-17-18-46-15,189,187.5,0
2023-03-17-18-46-15,192,189,0
2023-03-17-18-46-15,194,190.25,0
2023-03-17-18-46-15,198,191.8,0
2023-03-17-18-46-15,200,193.167,0
2023-03-17-18-46-15,201,194.286,0
2023-03-17-18-46-15,201,195.125,0
2023-03-17-18-46-15,199,195.556,0
2023-03-17-18-46-16,196,195.6,0
2023-03-17-18-46-16,191,196.1,0
2023-03-17-18-46-16,187,195.9,0
2023-03-17-18-46-16,184,195.1,0
2023-03-17-18-46-16,183,194,0
2023-03-17-18-46-16,182,192.4,0
2023-03-17-18-46-16,181,190.5,0
2023-03-17-18-46-16,180,188.4,0
2023-03-17-18-46-16,180,186.3,0
2023-03-17-18-46-16,182,184.6,0
2023-03-17-18-46-16,181,183.1,0
2023-03-17-18-46-16,176,181.6,0
2023-03-17-18-46-16,169,179.8,0
2023-03-17-18-46-16,158,177.2,0
2023-03-17-18-46-16,148,173.7,0
2023-03-17-18-46-16,139,169.4,0
2023-03-17-18-46-16,132,164.5,0
2023-03-17-18-46-16,125,159,0
2023-03-17-18-46-16,124,153.4,0
2023-03-17-18-46-16,128,148,0
2023-03-17-18-46-16,137,143.6,0
2023-03-17-18-46-16,149,140.9,0
2023-03-17-18-46-16,162,140.2,0
2023-03-17-18-46-16,174,141.8,0
2023-03-17-18-46-16,186,145.6,0
2023-03-17-18-46-16,196,151.3,0
2023-03-17-18-46-16,202,158.3,0
2023-03-17-18-46-16,205,166.3,0
2023-03-17-18-46-17,207,174.6,0
2023-03-17-18-46-17,206,182.4,0
2023-03-17-18-46-17,206,189.3,0
2023-03-17-18-46-17,205,194.9,0
2023-03-17-18-46-17,204,199.1,0
2023-03-17-18-46-17,203,202,0
2023-03-17-18-46-17,203,203.7,0
2023-03-17-18-46-17,203,204.4,0
2023-03-17-18-46-17,204,204.6,0
2023-03-17-18-46-17,207,204.8,0
2023-03-17-18-46-17,210,205.1,0
2023-03-17-18-46-17,214,205.9,0
2023-03-17-18-46-17,217,207,0
2023-03-17-18-46-17,221,208.6,0
2023-03-17-18-46-17,225,210.7,0
2023-03-17-18-46-17,225,212.9,0
2023-03-17-18-46-17,226,215.2,0
2023-03-17-18-46-17,231,218,0
2023-03-17-18-46-17,234,221,0
2023-03-17-18-46-17,239,224.2,0
2023-03-17-18-46-17,237,226.9,0
2023-03-17-18-46-17,237,229.2,0
2023-03-17-18-46-17,233,230.8,0
2023-03-17-18-46-17,233,232,0
2023-03-17-18-46-17,233,232.8,0
2023-03-17-18-46-17,230,233.3,0
2023-03-17-18-46-17,231,233.8,0
2023-03-17-18-46-18,230,233.7,0
2023-03-17-18-46-18,232,233.5,0
2023-03-17-18-46-18,226,232.2,0
2023-03-17-18-46-18,228,231.3,0
2023-03-17-18-46-18,222,229.8,0
2023-03-17-18-46-18,224,228.9,0
2023-03-17-18-46-18,229,228.5,0
2023-03-17-18-46-18,235,228.7,0
2023-03-17-18-46-18,244,230.1,0
2023-03-17-18-46-18,245,231.5,0
2023-03-17-18-46-18,244,232.9,0
2023-03-17-18-46-18,234,233.1,0
2023-03-17-18-46-18,233,233.8,0
2023-03-17-18-46-18,229,233.9,0
2023-03-17-18-46-18,225,234.2,0
2023-03-17-18-46-18,217,233.5,0
2023-03-17-18-46-18,205,231.1,0
2023-03-17-18-46-18,200,227.6,0
2023-03-17-18-46-18,198,223,0
2023-03-17-18-46-18,195,218,0
2023-03-17-18-46-18,202,213.8,0
2023-03-17-18-46-18,217,212.1,0
2023-03-17-18-46-18,236,212.4,0
2023-03-17-18-46-18,257,215.2,0
2023-03-17-18-46-18,278,220.5,0
2023-03-17-18-46-18,297,228.5,0
2023-03-17-18-46-18,320,240,0
2023-03-17-18-46-18,348,254.8,0
2023-03-17-18-46-19,361,271.1,0
2023-03-17-18-46-19,358,287.4,0
2023-03-17-18-46-19,340,301.2,0
2023-03-17-18-46-19,310,310.5,0
2023-03-17-18-46-19,280,314.9,0
2023-03-17-18-46-19,253,314.5,0
2023-03-17-18-46-19,228,309.5,0
2023-03-17-18-46-19,198,299.6,0
2023-03-17-18-46-19,175,299.6,0
2023-03-17-18-46-19,156,299.6,0
2023-03-17-18-46-19,149,299.6,0
2023-03-17-18-46-19,160,299.6,0
2023-03-17-18-46-19,163,299.6,0
2023-03-17-18-46-19,169,299.6,0
2023-03-17-18-46-19,179,299.6,0
2023-03-17-18-46-19,213,299.6,0
2023-03-17-18-46-19,251,299.6,0
2023-03-17-18-46-19,288,299.6,1
2023-03-17-18-46-19,304,299.6,0
2023-03-17-18-46-19,301,299.6,0
2023-03-17-18-46-19,308,299.6,0
2023-03-17-18-46-19,298,299.6,0
2023-03-17-18-46-19,285,299.6,0
2023-03-17-18-46-19,257,299.6,0
2023-03-17-18-46-19,206,299.6,0
2023-03-17-18-46-19,189,299.6,0
2023-03-17-18-46-19,191,299.6,0
2023-03-17-18-46-20,185,299.6,0
2023-03-17-18-46-20,179,299.6,0
2023-03-17-18-46-20,185,299.6,0
2023-03-17-18-46-20,199,299.6,0
2023-03-17-18-46-20,222,299.6,0
2023-03-17-18-46-20,254,299.6,0
2023-03-17-18-46-20,232,290.8,0
2023-03-17-18-46-20,210,277,0
2023-03-17-18-46-20,256,266.5,0
2023-03-17-18-46-20,299,260.6,0
2023-03-17-18-46-20,280,254.6,0
2023-03-17-18-46-20,248,248.4,0
2023-03-17-18-46-20,220,242.4,0
2023-03-17-18-46-20,212,238.3,0
2023-03-17-18-46-20,222,237.7,0
