Timestamp,SensorData,AvgValue,PotholeDetected
2023-03-17-18-38-14,104,104,0
2023-03-17-18-38-14,118,111,0
2023-03-17-18-38-14,121,114.333,0
2023-03-17-18-38-14,123,116.5,0
2023-03-17-18-38-14,133,119.8,0
2023-03-17-18-38-14,147,124.333,0
2023-03-17-18-38-14,156,128.857,0
2023-03-17-18-38-15,162,133,0
2023-03-17-18-38-15,165,136.556,0
2023-03-17-18-38-15,171,140,0
2023-03-17-18-38-15,179,147.5,0
2023-03-17-18-38-15,190,154.7,0
2023-03-17-18-38-15,200,162.6,0
2023-03-17-18-38-15,209,171.2,0
2023-03-17-18-38-15,214,179.3,0
2023-03-17-18-38-15,215,186.1,0
2023-03-17-18-38-15,216,192.1,0
2023-03-17-18-38-15,215,197.4,0
2023-03-17-18-38-15,220,202.9,0
2023-03-17-18-38-15,228,208.6,0
2023-03-17-18-38-15,236,214.3,0
2023-03-17-18-38-15,243,219.6,0
2023-03-17-18-38-15,256,225.2,0
2023-03-17-18-38-15,275,231.8,0
2023-03-17-18-38-15,288,239.2,0
2023-03-17-18-38-15,290,246.7,0
2023-03-17-18-38-15,286,253.7,0
2023-03-17-18-38-15,281,260.3,0
2023-03-17-18-38-15,275,265.8,0
2023-03-17-18-38-15,272,270.2,0
2023-03-17-18-38-15,263,272.9,0
2023-03-17-18-38-15,249,273.5,0
2023-03-17-18-38-15,228,270.7,0
2023-03-17-18-38-15,221,265.3,0
2023-03-17-18-38-16,223,258.8,0
2023-03-17-18-38-16,229,252.7,0
2023-03-17-18-38-16,232,247.3,0
2023-03-17-18-38-16,232,242.4,0
2023-03-17-18-38-16,231,238,0
2023-03-17-18-38-16,226,233.4,0
2023-03-17-18-38-16,236,230.7,0
2023-03-17-18-38-16,249,230.7,0
2023-03-17-18-38-16,255,233.4,0
2023-03-17-18-38-16,261,237.4,0
2023-03-17-18-38-16,269,242,0
2023-03-17-18-38-16,276,246.7,0
2023-03-17-18-38-16,281,251.6,0
2023-03-17-18-38-16,287,257.1,0
2023-03-17-18-38-16,288,262.8,0
2023-03-17-18-38-16,280,268.2,0
2023-03-17-18-38-16,274,272,0
2023-03-17-18-38-16,265,273.6,0
2023-03-17-18-38-16,263,274.4,0
2023-03-17-18-38-16,267,275,0
2023-03-17-18-38-16,272,275.3,0
2023-03-17-18-38-16,277,275.4,0
2023-03-17-18-38-16,278,275.1,0
2023-03-17-18-38-16,282,274.6,0
2023-03-17-18-38-16,292,275,0
2023-03-17-18-38-16,306,277.6,0
2023-03-17-18-38-16,313,281.5,0
2023-03-17-18-38-16,312,286.2,0
2023-03-17-18-38-17,308,290.7,0
2023-03-17-18-38-17,304,294.4,0
2023-03-17-18-38-17,301,297.3,0
2023-03-17-18-38-17,297,299.3,0
2023-03-17-18-38-17,294,300.9,0
2023-03-17-18-38-17,291,301.8,0
2023-03-17-18-38-17,293,301.9,0
2023-03-17-18-38-17,297,301,0
2023-03-17-18-38-17,303,300,0
2023-03-17-18-38-17,307,299.5,0
2023-03-17-18-38-17,307,299.4,0
2023-03-17-18-38-17,310,300,0
2023-03-17-18-38-17,310,300.9,0
2023-03-17-18-38-17,311,302.3,0
2023-03-17-18-38-17,309,303.8,0
2023-03-17-18-38-17,308,305.5,0
2023-03-17-18-38-17,310,307.2,0
2023-03-17-18-38-17,309,308.4,0
2023-03-17-18-38-17,314,309.5,0
2023-03-17-18-38-17,318,310.6,0
2023-03-17-18-38-17,323,312.2,0
